LINE_ITEM_NAME,Actual_eCPM
PWT_5b1931092505d_282.741,-
PWT_5b1931092505d_285.427,-
PWT_5b1931092505d_328.409,-
PWT_5b19307a78e7e_247.146,-
PWT_5b19295399fe7_525.873,-
PWT_5b192a8c96669_774.212,-
PWT_5b19307a78e7e_231.028,-
PWT_5b19295399fe7_405.06,-
PWT_5b1931092505d_320.35,-
PWT_5b1931092505d_340.498,-
PWT_5b192a8c96669_720.517,-
PWT_5b19295399fe7_509.094,-
PWT_5b19307a78e7e_249.833,-
PWT_5b1931092505d_297.516,-
PWT_5b1931092505d_353.93,-
PWT_5b19295399fe7_455.399,-
PWT_5b19307a78e7e_218.939,-
PWT_5b1931092505d_323.036,-
PWT_5b1931092505d_300.202,-
PWT_5b19295399fe7_452.043,-
PWT_5b192a8c96669_697.026,-
PWT_5b192bb1e9219_916.724,-
PWT_5b192bb1e9219_983.884,-
PWT_5b19295399fe7_421.84,-
PWT_5b19295399fe7_435.263,-
PWT_5b19295399fe7_623.195,-
PWT_5b19295399fe7_374.857,-
PWT_5b19295399fe7_502.382,-
PWT_5b192a8c96669_723.873,-
PWT_5b19307a78e7e_264.608,-
PWT_5b1931092505d_292.143,-
PWT_5b1931092505d_345.87,-
PWT_5b1931092505d_351.243,-
PWT_5b19295399fe7_384.925,-
PWT_5b192a8c96669_700.382,-
PWT_5b192bb1e9219_1252.521,-
PWT_5b19295399fe7_582.924,-
PWT_5b192a8c96669_673.534,-
PWT_5b19307a78e7e_263.264,-
PWT_5b19295399fe7_522.518,-
PWT_5b192bb1e9219_950.304,-
PWT_5b192ebe59b43_133.983,-
PWT_5b19295399fe7_592.992,-
PWT_5b19307a78e7e_236.401,-
PWT_5b19307a78e7e_241.773,-
PWT_5b19307a78e7e_245.803,-
PWT_5b1931092505d_304.232,-
PWT_5b1931092505d_343.184,-
PWT_5b19295399fe7_415.128,-
PWT_5b192bb1e9219_963.736,-
PWT_5b192a8c96669_787.636,-
PWT_5b19307a78e7e_229.685,-
PWT_5b192a8c96669_827.907,-
PWT_5b19307a78e7e_233.714,-
PWT_5b1931092505d_352.586,-
PWT_5b192bb1e9219_957.02,-
PWT_5b192a8c96669_844.686,-
PWT_5b19295399fe7_572.856,-
PWT_5b192a8c96669_750.72,-
PWT_5b192bb1e9219_1212.225,-
PWT_5b19307a78e7e_256.549,-
PWT_5b1931092505d_314.977,-
PWT_5b1931092505d_363.332,-
PWT_5b1931092505d_367.361,-
PWT_5b19295399fe7_505.738,-
PWT_5b192a8c96669_650.043,-
PWT_5b192a8c96669_878.246,-
PWT_5b192bb1e9219_1279.385,-
PWT_5b192a8c96669_874.89,-
PWT_5b1931092505d_313.634,-
PWT_5b1931092505d_280.054,-
PWT_5b1931092505d_289.457,-
PWT_5b1931092505d_359.302,-
PWT_5b19295399fe7_418.484,-
PWT_5b19295399fe7_472.179,-
PWT_5b19295399fe7_552.721,-
PWT_5b19295399fe7_485.602,-
PWT_5b19295399fe7_579.568,-
PWT_5b19295399fe7_626.551,-
PWT_5b192a8c96669_797.703,-
PWT_5b192bb1e9219_1232.373,-
PWT_5b19295399fe7_428.552,-
PWT_5b19295399fe7_549.365,-
PWT_5b19295399fe7_606.416,-
PWT_5b19295399fe7_619.839,-
PWT_5b19295399fe7_636.283,-
PWT_5b192bb1e9219_910.009,-
PWT_5b192a8c96669_653.399,-
PWT_5b192a8c96669_663.466,-
PWT_5b192a8c96669_730.585,-
PWT_5b192a8c96669_757.432,-
PWT_5b1931092505d_355.273,-
PWT_5b19295399fe7_401.704,-
PWT_5b19295399fe7_495.67,-
PWT_5b192a8c96669_767.5,-
PWT_5b192a8c96669_837.974,-
PWT_5b192bb1e9219_1319.68,-
PWT_5b192a8c96669_764.144,-
PWT_5b192bb1e9219_1171.93,-
PWT_5b1931092505d_332.439,-
PWT_5b1931092505d_348.557,-
PWT_5b1931092505d_349.9,-
PWT_5b19295399fe7_465.467,-
PWT_5b19295399fe7_529.229,-
PWT_5b19295399fe7_556.077,-
PWT_5b192a8c96669_639.975,-
PWT_5b192a8c96669_807.771,-
PWT_5b19295399fe7_499.026,-
PWT_5b192bb1e9219_1010.747,-
PWT_5b19295399fe7_381.569,-
PWT_5b19295399fe7_599.704,-
PWT_5b192a8c96669_861.466,-
PWT_5b192a8c96669_817.839,-
PWT_5b192a8c96669_848.042,-
PWT_5b192bb1e9219_936.872,-
PWT_5b192bb1e9219_1272.669,-
PWT_5b19295399fe7_613.127,-
PWT_5b192a8c96669_676.89,-
